,movie_name,year,imdb_rating,meta_rating,total_votes
228,Black '47,2018,6.9,65        ,5831
229,Irreplaceable You,2018,6.4,34        ,5816
230,Action Point,2018,5.0,36        ,5807
231,Vox Lux,2018,6.1,68        ,5797
232,Hearts Beat Loud,2018,6.9,65        ,5706
233,Death of a Nation,2018,4.7,1        ,5703
234,Final Score,2018,5.7,53        ,5684
235,King of Thieves,2018,5.5,47        ,5645
236,A-X-L,2018,5.2,29        ,5528
237,Destroyer,2018,6.5,62        ,5506
238,The Vanishing,2018,5.8,66        ,5471
239,The Night Eats the World,2018,6.0,50        ,5328
240,Mary Magdalene,2018,5.8,47        ,5288
241,"Paul, Apostle of Christ",2018,6.7,52        ,5228
242,Acrimony,2018,5.7,32        ,5205
243,Ideal Home,2018,6.5,62        ,5097
244,The Mercy,2018,6.0,60        ,4929
245,I Think We're Alone Now,2018,5.6,51        ,4925
246,Little Italy,2018,5.7,28        ,4905
247,Girl,2018,7.2,74        ,4857
248,Zoe,2018,6.1,39        ,4843
249,The Front Runner,2018,6.2,61        ,4789
250,Robin Williams: Come Inside My Mind,2018,8.0,74        ,4513
251,211,2018,4.4,21        ,4477
252,I Still See You,2018,5.7,31        ,4361
253,Prospect,2018,6.1,68        ,4352
254,Mirai,2018,7.1,81        ,4325
255,SuperFly,2018,5.1,52        ,4283
256,The Little Stranger,2018,5.6,67        ,4221
257,McQueen,2018,7.9,84        ,4129
258,Whitney,2018,7.2,75        ,4111
259,The Land of Steady Habits,2018,6.2,71        ,4109
260,The Other Side of the Wind,2018,7.0,78        ,4099
261,Future World,2018,3.1,10        ,4002
262,The Catcher Was a Spy,2018,6.1,49        ,3951
263,Support the Girls,2018,6.5,85        ,3922
264,Arizona,2018,5.7,41        ,3884
265,Mara,2018,5.1,32        ,3808
266,The Quake,2018,6.2,70        ,3805
267,Minding the Gap,2018,8.1,93        ,3732
268,Reprisal,2018,4.2,19        ,3642
269,Welcome to Marwen,2018,5.9,40        ,3613
270,Looking Glass,2018,4.5,33        ,3515
271,Our House,2018,5.3,45        ,3510
272,Between Worlds,2018,5.1,24        ,3489
273,Lizzie,2018,5.8,59        ,3468
274,Ashes in the Snow,2018,6.8,43        ,3390
275,El Angel,2018,7.1,61        ,3380
276,Take Your Pills,2018,6.4,54        ,3318
277,Lords of Chaos,2018,6.4,47        ,3289
278,Show Dogs,2018,3.6,31        ,3282
279,The Breaker Upperers,2018,5.9,76        ,3277
280,Samson,2018,4.4,17        ,3257
281,Kickboxer: Retaliation,2018,5.0,54        ,3226
282,Kursk,2018,6.6,53        ,3201
283,Elizabeth Harvest,2018,5.7,54        ,3030
284,Museo,2018,7.1,87        ,2975
285,Puzzle,2018,6.8,66        ,2957
286,Jonathan,2018,5.8,62        ,2956
287,Backstabbing for Beginners,2018,6.2,48        ,2955
288,Nobody's Fool,2018,4.5,39        ,2933
289,The Miracle Season,2018,6.5,44        ,2928
290,The Festival,2018,6.0,57        ,2913
291,The American Meme,2018,6.2,60        ,2893
292,The Man Who Killed Hitler and Then The Bigfoot,2018,5.6,50        ,2888
293,Leto,2018,7.4,69        ,2874
294,6 Balloons,2018,5.9,66        ,2804
295,Black Water,2018,4.7,16        ,2796
296,They'll Love Me When I'm Dead,2018,7.5,77        ,2771
297,The Legacy of a Whitetail Deer Hunter,2018,5.5,49        ,2763
298,The Happy Prince,2018,6.3,64        ,2732
299,Heavy Trip,2018,7.2,72        ,2704
300,Pájaros de verano,2018,7.9,86        ,2665
301,Blood Fest,2018,5.3,54        ,2644
302,Greta,2018,6.2,53        ,2591
303,Benji,2018,6.4,53        ,2587
304,What Keeps You Alive,2018,5.8,66        ,2583
305,Shirkers,2018,7.5,88        ,2554
306,Back Roads,2018,7.2,42        ,2519
307,Arctic,2018,7.3,71        ,2514
308,God's Not Dead: A Light in Darkness,2018,4.4,33        ,2429
309,Piercing,2018,5.7,63        ,2416
310,Transit,2018,7.0,83        ,2386
311,Never Look Away,2018,7.7,69        ,2385
312,Scorched Earth,2018,4.6,32        ,2294
313,We the Animals,2018,7.0,84        ,2253
314,St. Agatha,2018,6.1,63        ,2237
315,Dog Days,2018,6.1,47        ,2203
316,Welcome Home,2018,5.1,38        ,2171
317,Madeline's Madeline,2018,6.4,76        ,2151
318,Quincy,2018,7.7,60        ,2139
319,An Evening with Beverly Luff Linn,2018,5.7,54        ,2128
320,The World Is Yours,2018,6.4,73        ,2095
321,Puppet Master: The Littlest Reich,2018,5.5,52        ,2072
322,Dead in a Week: Or Your Money Back,2018,6.3,38        ,2068
323,The Dark,2018,5.7,52        ,2065
324,Swimming with Men,2018,6.3,44        ,2046
325,Birthmarked,2018,5.7,44        ,2022
326,River Runs Red,2018,5.0,26        ,2002
327,Skate Kitchen,2018,6.8,72        ,2001
328,Woman at War,2018,7.6,81        ,1991
329,At First Light,2018,5.5,49        ,1919
330,Josie,2018,5.5,31        ,1906
331,Becoming Astrid,2018,7.2,71        ,1890
332,London Fields,2018,4.4,16        ,1890
333,Shadow,2018,7.1,88        ,1885
334,Slice,2018,4.5,61        ,1883
335,The Oath,2018,5.2,58        ,1878
336,Boarding School,2018,5.7,45        ,1870
337,Sunday's Illness,2018,7.0,92        ,1832
338,The Devil's Doorway,2018,5.2,48        ,1824
339,White Fang,2018,7.0,61        ,1805
340,Rust Creek,2018,5.7,59        ,1803
341,Damsel,2018,5.6,63        ,1801
342,Coldplay: A Head Full of Dreams,2018,8.1,64        ,1789
343,Duck Butter,2018,5.3,58        ,1754
344,Ash Is Purest White,2018,7.1,83        ,1751
345,The Laws of Thermodynamics,2018,6.0,45        ,1726
346,A Kid Like Jake,2018,5.3,60        ,1638
347,The Heiresses,2018,6.9,77        ,1577
